D_code,D_name,Nama_Pemenang,Parti_Pemenang,Undi_Menang,Oppo.Nama,Oppo.Parti,Oppo.Undi,Majoriti,Penyandang.Nama,Penyandang.Parti
N29,Beting Maro,"Razaili bin Haji Gapor, Haji",GPS (PBB),3769,Safiudin bin Matsah,Bebas,636,1711,"Razaili Haji Gapor, Haji",GPS (PBB)
N29,Beting Maro,"Razaili bin Haji Gapor, Haji",GPS (PBB),3769,Jackie Chiew Su Chee,PBK,74,1711,"Razaili Haji Gapor, Haji",GPS (PBB)
N30,Balai Ringin,"Snowdan Lawan, Datuk",GPS (PRS),4816,"Masir ak. Kujat, Dato",PSB,3531,1285,"Snowdan Lawan, Datuk",GPS (PRS)
N30,Balai Ringin,"Snowdan Lawan, Datuk",GPS (PRS),4816,Kasim ak. Mana,PBK,195,1285,"Snowdan Lawan, Datuk",GPS (PRS)
N31,Bukit Begunan,"Mong ak. Dagang, Datuk",GPS (PRS),4054,Norina Umoi ak. Utot,PSB,2652,1402,"Mong ak. Dagang, Datuk",GPS (PRS)
N31,Bukit Begunan,"Mong ak. Dagang, Datuk",GPS (PRS),4054,Entusa ak. Imam,PBDSB,115,1402,"Mong ak. Dagang, Datuk",GPS (PRS)
N31,Bukit Begunan,"Mong ak. Dagang, Datuk",GPS (PRS),4054,Winton Langang ak. Sangga,PBK,86,1402,"Mong ak. Dagang, Datuk",GPS (PRS)
N32,Simanggang,"Francis Harden ak. Hollis, Datuk",GPS (SUPP),3954,Walsin @ Wilson ak. Entabang,PSB,3779,175,"Francis Harden ak. Hollis, Datuk",GPS (SUPP)
N32,Simanggang,"Francis Harden ak. Hollis, Datuk",GPS (SUPP),3954,Leon Jimat Donald,DAP,212,175,"Francis Harden ak. Hollis, Datuk",GPS (SUPP)
N32,Simanggang,"Francis Harden ak. Hollis, Datuk",GPS (SUPP),3954,Peli ak. Aron,PBK,135,175,"Francis Harden ak. Hollis, Datuk",GPS (SUPP)
N33,Engkilili,"Johnichal Rayong ak. Ngipa, Dr.",PSB,3246,Desmond Sateng ak. Sanjan,GPS (SUPP),2055,1191,"Johnical Rayong ak. Ngipa, Dr",PSB
N33,Engkilili,"Johnichal Rayong ak. Ngipa, Dr.",PSB,3246,Gemong ak. Batu,Bebas,2013,1191,"Johnical Rayong ak. Ngipa, Dr",PSB
N33,Engkilili,"Johnichal Rayong ak. Ngipa, Dr.",PSB,3246,Stel ak. Datu,PBK,151,1191,"Johnical Rayong ak. Ngipa, Dr",PSB
